Name,Class,Role,Difficulty,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Maokai,Tank,TOP,1,D,24.65,-6.31,0.4913,0.1724,0.0032,0.0017,2.1
Master Yi,Assassin,JUNGLE,1,S,64.59,-3.49,0.4974,0.9304,0.0764,0.1896,2.02
Miss Fortune,Marksman,ADC,1,A,50.67,-1.8,0.501,0.9535,0.0887,0.0212,2.3
Mordekaiser,Fighter,TOP,2,S,65.95,14.48,0.4982,0.8743,0.0531,0.0599,1.79
Morgana,Mage,SUPPORT,1,S,71.03,-1.92,0.4976,0.9249,0.0913,0.2695,2.51
Nami,Support,SUPPORT,2,S,73.29,-2.3,0.5152,0.9976,0.113,0.026,3.24
Nasus,Fighter,TOP,1,S,64.96,7.18,0.5183,0.851,0.0449,0.0436,1.98
Nautilus,Tank,SUPPORT,2,S,60.25,2.25,0.4981,0.9825,0.0869,0.0777,2.32
Neeko,Mage,MID,1,C,37.75,0.46,0.4866,0.623,0.013,0.0028,2.22
Nidalee,Assassin,JUNGLE,2,A,49.1,-0.37,0.4898,0.9241,0.0441,0.0264,2.95
Nocturne,Assassin,JUNGLE,1,B,39.71,-6.54,0.4805,0.8682,0.0312,0.0324,2.39
Nunu,Tank,JUNGLE,1,A,55.47,0.61,0.5179,0.8952,0.0435,0.0238,3.04
Olaf,Fighter,JUNGLE,1,C,36.61,5.55,0.4907,0.8479,0.0148,0.0085,2.45
Orianna,Mage,MID,2,A,47.05,1.97,0.4956,0.9543,0.0289,0.0018,2.66
Ornn,Tank,TOP,2,A,59.57,4.58,0.5083,0.9419,0.0404,0.0043,2.3
Pantheon,Fighter,SUPPORT,1,D,32.78,-2.48,0.47,0.3976,0.0178,0.0089,1.89
Poppy,Tank,JUNGLE,2,B,41.6,-2.14,0.4959,0.4797,0.023,0.023,2.65
Pyke,Support,SUPPORT,2,S,59.89,-0.91,0.4935,0.883,0.0857,0.1277,2.17
Qiyana,Assassin,MID,3,A,56.52,2.17,0.5104,0.5868,0.0473,0.1369,2.14
Quinn,Marksman,TOP,2,C,36.42,-5.78,0.5171,0.8336,0.0119,0.0051,1.89
Rakan,Support,SUPPORT,2,A,54.12,-1.22,0.5052,0.9847,0.0555,0.0041,2.94
Rammus,Tank,JUNGLE,1,A,48.15,0.36,0.5171,0.9345,0.0241,0.0314,2.9
